"product_name","price","list_price","delivery_type"
"Apple 2020 MacBook Air (13-inch, Apple M1 chip, 8GB, 256GB)",14999.0,15827.31,"Express"
"Apple 2023 MacBook Pro (14-inch, Apple M3 chip, 8GB Unified Memory, 1TB)",52449.0,52449.0,"Standard"
"Apple 2023 MacBook Pro (14-inch, Apple M3 Pro chip, 18GB Unified Memory, 512GB)",39748.0,42799.0,"Express"
"Apple 2023 MacBook Pro (16-inch, Apple M3 Pro chip, 36GB Unified Memory, 512GB)",65099.0,65099.0,"Express"
"Apple 2024 MacBook Air (13-inch, Apple M3 chip, 8GB Unified Memory, 256GB)",22999.0,15827.31,"Express"
"Apple 2024 MacBook Air (13-inch, Apple M3 chip, 8GB Unified Memory, 256GB)",22999.0,22999.0,"Express"
"Apple 2024 MacBook Air (15-inch, Apple M3 chip, 16GB Unified Memory, 512GB)",33783.0,37757.31,"Express"
"Apple 2024 MacBook Air (15-inch, Apple M3 chip, 8GB Unified Memory, 256GB)",27499.0,27499.0,"Express"
"Apple iPhone 11 (64 GB)",10303.0,10303.0,"Express"
"Apple iPhone 12 (128 GB)",11500.0,13085.58,"Express"
"Apple iPhone 12 (64 GB)",11499.0,11499.0,"Express"
"Apple iPhone 13 (128 GB)",12999.0,12999.0,"Express"
"Apple iPhone 13 (512 GB)",22849.0,22849.0,"Express"
"Apple iPhone 14 (128 GB)",15799.0,15799.0,"Express"
"Apple iPhone 14 (128 GB)",15799.0,18471.24,"Express"
"Apple iPhone 14 Plus (128 GB)",17999.0,17999.0,"Express"
"Apple iPhone 14 Plus (512 GB)",19999.0,26599.0,"Express"
"Apple iPhone 14 Plus (512 GB)",27499.0,27499.0,"Standard"
"Apple iPhone 15 (128 GB)",16948.0,18471.24,"Express"
"Apple iPhone 15 (512 GB)",26216.0,26216.0,"Express"
"Apple iPhone 15 Plus (128 GB)",21049.0,21049.0,"Express"
"Apple iPhone 15 Plus (512 GB)",28797.0,28797.0,"Express"
"Apple iPhone 15 Pro (128 GB)",22499.0,23634.46,"Express"
"Apple iPhone 15 Pro (128 GB)",22850.0,22850.0,"Standard"
"Apple iPhone 15 Pro (256 GB)",25895.0,25895.0,"Express"
"Apple iPhone 15 Pro Max (256 GB)",27488.0,28797.68,"Express"
"Apple iPhone SE (3rd generation)",13999.0,13999.0,"Express"
"Apple Mac Studio (M2 Ultra, 2023)",79516.0,79516.0,"Express"
"Apple Watch SE (2nd Gen, 2023)",5999.0,5999.0,"Express"
"Apple Watch SE (2nd Gen, 2023)",7973.0,7973.0,"Express"
"Apple Watch Series 9 (GPS + Cellular 45mm)",11099.0,12827.43,"Express"
"Apple Watch Series 9 (GPS + Cellular 45mm)",20240.0,20240.0,"Express"
"Apple Watch Series 9 (GPS 41mm)",9499.0,9499.0,"Express"
"Apple Watch Ultra 2 (GPS + Cellular 49mm)",18249.0,19390.46,"Express"
