"product_name","price","list_price","delivery_type"
"Apple iPhone 11 (128GB)",12599.0,12999.0,"Standard"
"Apple iPhone 11 (64GB)",9999.0,10999.0,"Standard"
"Apple iPhone 11 Pro (256GB)",10999.0,11799.0,"Standard"
"Apple iPhone 12 (64GB)",11999.0,12999.0,"Standard"
"Apple iPhone 13 Pro (128GB)",18999.0,23499.0,"Standard"
"Apple iPhone 14 (128GB)",16999.0,17999.0,"Standard"
"Apple iPhone 15 (128GB)",17999.0,19999.0,"Standard"
"Apple iPhone 15 (256GB)",22599.0,22999.0,"Standard"
"Apple iPhone 15 (512GB)",27999.0,28599.0,"Standard"
"Apple iPhone 15 Plus (256GB)",24999.0,25799.0,"Standard"
"Apple iPhone 15 Pro (128GB)",24499.0,25799.0,"Standard"
"Apple iPhone 15 Pro (256GB)",26999.0,28599.0,"Standard"
"Apple iPhone 15 Pro (512GB)",32999.0,34199.0,"Standard"
"Apple iPhone 15 Pro Max (256GB)",29999.0,31499.0,"Standard"
"Apple iPhone 15 Pro Max (512GB)",34999.0,36999.0,"Standard"
"Apple MacBook Air (13-inch, Apple M2 chip,  8GB, 256GB)",21999.0,21999.0,"Standard"
"Apple MacBook Air (13-inch, Apple M2 chip,  8GB, 512GB)",26999.0,28999.0,"Standard"
"Apple MacBook Air (13-inch, Apple M3 chip,  8GB, 256GB)",25999.0,25999.0,"Standard"
"Apple MacBook Air (13-inch, Apple M3 chip,  8GB, 512GB)",29999.0,29999.0,"Standard"
"Apple MacBook Air (15-inch, Apple M3 chip, 16GB, 512GB)",37999.0,37999.0,"Standard"
"Apple Watch SE (2nd Gen, 2023)",6499.0,6499.0,"Standard"
"Apple Watch SE (2nd Gen, 2023)",6549.0,6549.0,"Standard"
"Apple Watch SE (2nd Gen, 2023)",7349.0,7349.0,"Standard"
"Apple Watch SE (2nd Gen, 2023)",7849.0,7849.0,"Standard"
"Apple Watch SE (2nd Gen, 2023)",8861.0,8861.0,"Standard"
"Apple Watch Series 3  (GPS 38mm)",4649.0,4649.0,"Standard"
"Apple Watch Series 7  (GPS + Cellular 41mm)",10999.0,10999.0,"Standard"
"Apple Watch Series 9 (GPS 41mm)",10499.0,10499.0,"Standard"
"Apple Watch Series 9 (GPS 41mm)",13149.0,13149.0,"Standard"
"Apple Watch Series 9 (GPS 45mm)",11299.0,11299.0,"Standard"
"Apple Watch Series 9 (GPS 45mm)",13899.0,13899.0,"Standard"
"Apple Watch Ultra (GPS + Cellular 49mm)",19899.0,19899.0,"Standard"
"Apple Watch Ultra (GPS + Cellular 49mm)",20999.0,20999.0,"Standard"
"Apple Watch Ultra (GPS + Cellular 49mm)",21099.0,21099.0,"Standard"
