Title,Price,List Price,Delivery
Apple iPhone 15 (128 GB) - Black,"16,948.","R 18,471.24R18,471.24","tomorrow, 13 Sept"
Apple iPhone 15 (128 GB) - Black,"16,948.","R 18,471.24R18,471.24","tomorrow, 13 Sept"
Apple iPhone 15 Pro Max (256 GB) - Blue Titanium,"27,488.","R 28,797.68R28,797.68","tomorrow, 13 Sept"
Apple iPhone 15 Pro (256 GB) - Black Titanium,"25,895.",N/A,"tomorrow, 13 Sept"
Apple iPhone 15 Plus (128 GB) - Green,"21,049.",N/A,"tomorrow, 13 Sept"
Apple iPhone 13 (128 GB) - Midnight,"12,999.",N/A,"tomorrow, 13 Sept"
Apple iPhone 12 (64 GB) - Purple,"11,499.",N/A,"tomorrow, 13 Sept"
Apple iPhone 15 (128 GB) - Green,"16,948.","R 18,471.24R18,471.24","tomorrow, 13 Sept"
Apple iPhone 15 Plus (128 GB) - Blue,"21,049.",N/A,"tomorrow, 13 Sept"
Apple iPhone 15 Pro (128 GB) - Black Titanium,"22,850.",N/A,"Saturday, 14 September"
Apple iPhone 14 Plus (512 GB) - Starlight,"19,999.","R 26,599.00R26,599.00","tomorrow, 13 Sept"
"Apple 2024 MacBook Air (15-inch, Apple M3 chip with 8‑core CPU and 10‑core GPU, 16GB Unified Memory, 512GB) - Space Gray","33,783.","R 37,757.31R37,757.31","tomorrow, 13 Sept"
Apple iPhone 15 Plus (512 GB) - Blue,"28,797.",N/A,"tomorrow, 13 Sept"
Apple iPhone 14 Plus (512 GB) - Yellow,"27,499.",N/A,N/A
Apple iPhone 15 (512 GB) - Blue,"26,216.",N/A,"tomorrow, 13 Sept"
Apple iPhone 13 (512 GB) - Midnight,"22,849.",N/A,"tomorrow, 13 Sept"
Apple iPhone SE (3rd generation) (128 GB) - Starlight,"13,999.",N/A,"tomorrow, 13 Sept"
Apple iPhone 12 (64 GB) - Purple,"11,499.",N/A,"tomorrow, 13 Sept"
Samsung Galaxy A14 4G 64GB black,"3,199.",N/A,"tomorrow, 13 Sept"
Apple iPhone 15 (128 GB) - Green,"16,948.","R 18,471.24R18,471.24","tomorrow, 13 Sept"
Apple iPhone 15 Plus (128 GB) - Blue,"21,049.",N/A,"tomorrow, 13 Sept"
Apple iPhone 15 Pro (128 GB) - Black Titanium,"22,850.",N/A,"Saturday, 14 September"
Apple iPhone 14 (128 GB) - Blue,"15,799.","R 18,471.24R18,471.24","tomorrow, 13 Sept"
Apple iPhone 14 (128 GB) - Blue,"15,799.",N/A,"tomorrow, 13 Sept"
Apple iPhone 15 (128 GB) - Black,"16,948.","R 18,471.24R18,471.24","tomorrow, 13 Sept"
Apple iPhone 14 Plus (128 GB) - Midnight,"17,999.",N/A,"tomorrow, 13 Sept"
Apple iPhone 13 (128 GB) - Midnight,"12,999.",N/A,"tomorrow, 13 Sept"
