Title,Price,List Price,Delivery
"Apple iPhone 14 (128GB, Midnight) - Pre Owned / 3 Month Warranty","R 12,900.00 inc. VAT","R 16,999.00",N/A
"Apple iPhone 13 (256GB, Blue) - Pre Owned / 3 Month Warranty","R 13,900.00 inc. VAT","R 17,299.00",N/A
"Apple iPhone 13 Pro (256GB, Graphite) - Pre Owned / 3 Month Warranty","R 15,900.00 inc. VAT","R 19,999.00",N/A
"Apple iPhone 13 Pro (256GB, Gold) - Pre Owned / 3 Month Warranty","R 15,900.00 inc. VAT","R 19,999.00",N/A
"Apple iPhone 13 Pro (256GB, Graphite) - Pre Owned / 3 Month Warranty","R 15,900.00 inc. VAT","R 19,999.00",N/A
"Apple iPhone 14 Plus (128GB, Purple) - Pre Owned / 3 Month Warranty","R 16,900.00 inc. VAT","R 17,999.00",N/A
"Apple iPhone 12 Pro Max (512GB, Gold) - Pre Owned / 3 Month Warranty","R 16,900.00 inc. VAT","R 18,999.00",N/A
"Apple iPhone 12 Pro Max (512GB, Pacific Blue) - Pre Owned / 3 Month Warranty","R 16,900.00 inc. VAT","R 18,999.00",N/A
"Apple iPhone 13 Pro Max (256GB, Silver) - Pre Owned / 3 Month Warranty","R 16,900.00 inc. VAT","R 21,999.00",N/A
"Apple iPhone 14 Plus (256GB, Blue) - Pre Owned / 3 Month Warranty","R 17,900.00 inc. VAT","R 22,999.00",N/A
"Apple iPhone 13 Pro Max (512GB, Gold) - Pre Owned / 3 Month Warranty","R 18,900.00 inc. VAT","R 25,999.00",N/A
"Apple iPhone 15 Plus (128GB, Black) - New / Apple Limited Warranty","R 19,900.00 inc. VAT","R 22,999.00",N/A
"Apple iPhone 14 Pro (256GB, Deep Purple) - Pre Owned / Apple Limited Warranty","R 20,900.00 inc. VAT","R 27,999.00",N/A
"Apple iPhone 14 Pro Max (128GB, Deep Purple) - Pre Owned / 3 Month Warranty","R 20,900.00 inc. VAT","R 26,999.00",N/A
"Apple iPhone 14 Pro Max (128GB, Space Black) - Pre Owned / 3 Month Warranty","R 20,900.00 inc. VAT","R 26,999.00",N/A
"Apple iPhone 14 Pro (256GB, Space Black) - Pre Owned / 3 Month Warranty","R 20,900.00 inc. VAT","R 27,999.00",N/A
"Apple iPhone 14 Pro (256GB, Space Black) - Pre Owned / 3 Month Warranty","R 20,900.00 inc. VAT","R 27,999.00",N/A
"Apple iPhone 14 Pro (256GB, Space Black) - Pre Owned / 3 Month Warranty","R 20,900.00 inc. VAT","R 27,999.00",N/A
"Apple iPhone 14 Pro Max (256GB, Space Black) - Pre Owned / 3 Month Warranty","R 21,900.00 inc. VAT","R 29,999.00",N/A
"Apple iPhone 14 Pro Max (256GB, Deep Purple) - Pre Owned / 3 Month Warranty","R 21,900.00 inc. VAT","R 29,999.00",N/A
"GOOD CONDITION 2020 Apple MacBook Air 13-inch M1 8-Core CPU, 7-Core GPU (8GB Unified RAM, 256GB SSD, Space Gray) - Pre Owned / 3 Month Warranty","R 11,900.00 inc. VAT","R 17,999.00",N/A
"VERY GOOD CONDITION 2020 Apple MacBook Air 13-inch M1 8-Core CPU, 7-Core GPU (8GB Unified RAM, 256GB SSD, Space Gray) - Pre Owned / 3 Month Warranty","R 12,900.00 inc. VAT","R 17,999.00",N/A
"2020 Apple MacBook Pro 13-inch M1 8-Core CPU, 8-Core GPU (Touch Bar, 8GB Unified RAM, 256GB SSD, Space Gray) - Pre Owned / 3 Month Warranty","R 16,900.00 inc. VAT","R 21,999.00",N/A
"2021 Apple iMac 24-inch M1 8-Core CPU, 7-Core GPU (4.5K Retina, 8GB Unified RAM, 256GB, Green) - Pre Owned / 3 Month Warranty","R 20,900.00 inc. VAT","R 29,999.00",N/A
"2021 Apple iMac 24-inch M1 8-Core CPU, 8-Core GPU (4.5K Retina, 8GB Unified RAM, 512GB, Pink) - Pre Owned / 3 Month Warranty","R 25,900.00 inc. VAT","R 39,999.00",N/A
"2021 Apple iMac 24-inch M1 8-Core CPU, 8-Core GPU (4.5K Retina, 8GB Unified RAM, 512GB, Pink) - Pre Owned / 3 Month Warranty","R 25,900.00 inc. VAT","R 39,999.00",N/A
"2021 Apple iMac 24-inch M1 8-Core CPU, 8-Core GPU (4.5K Retina, 8GB Unified RAM, 512GB, Pink) - Pre Owned / 3 Month Warranty","R 25,900.00 inc. VAT","R 39,999.00",N/A
